person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,PD,assigned_interest_rate,expected_profit
29,70500,RENT,5.0,PERSONAL,A,35000,1,0.5,N,6,0.003047261205508638,7.04570891808263,2394.4910956052563
26,156000,MORTGAGE,2.0,HOMEIMPROVEMENT,B,35000,0,0.22,N,4,0.0031744328368996373,7.0476164925534945,2392.172417993288
33,102000,MORTGAGE,17.0,VENTURE,E,35000,0,0.34,Y,8,0.0033283964571915662,7.049925946857874,2389.3650238084883
28,165000,RENT,3.0,DEBTCONSOLIDATION,B,35000,0,0.21,N,9,0.0036880760584774796,7.0553211408771626,2382.805605734392
31,73000,RENT,8.0,EDUCATION,E,35000,1,0.48,Y,10,0.004580027371001966,7.06870041056503,2366.533374431489
37,85000,RENT,5.0,DEBTCONSOLIDATION,A,35000,1,0.41,N,17,0.004663973663511518,7.069959604952673,2365.0014779098374
24,300000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,35000,0,0.12,N,3,0.006694401802138061,7.100416027032071,2327.926608369773
28,144000,MORTGAGE,12.0,MEDICAL,A,35000,0,0.24,N,7,0.006708777360071507,7.100631660401072,2327.663961654947
34,120000,RENT,17.0,VENTURE,B,35000,0,0.29,N,6,0.006744812968653299,7.101172194529799,2327.005568335104
23,112800,MORTGAGE,3.0,DEBTCONSOLIDATION,B,35000,0,0.31,N,4,0.00711049546701162,7.106657432005174,2320.32354698501
23,100000,OWN,7.0,PERSONAL,D,35000,0,0.35,N,4,0.007810464508829222,7.117156967632439,2307.529278321129
22,59000,RENT,123.0,PERSONAL,D,35000,1,0.59,Y,3,0.007830198455525399,7.117452976832881,2307.16850006821
28,95000,MORTGAGE,12.0,EDUCATION,B,35000,0,0.37,N,5,0.008390529348190562,7.125857940222859,2296.922760703532
36,69000,RENT,20.0,VENTURE,C,35000,1,0.51,N,15,0.009174757143353415,7.1376213571503015,2282.577495105611
25,168000,MORTGAGE,2.0,PERSONAL,B,35000,0,0.21,N,2,0.009196980912620388,7.137954713689306,2282.1708789862964
26,150000,MORTGAGE,8.0,MEDICAL,C,35000,0,0.23,N,3,0.009775282020544866,7.146629230308173,2271.588197498532
23,95000,RENT,2.0,VENTURE,A,35000,1,0.37,N,2,0.009824898574063386,7.147373478610951,2270.680070634096
44,67920,RENT,13.0,HOMEIMPROVEMENT,A,32400,1,0.48,N,13,0.0003617462231133724,7.0054261933467,2261.9046636517824
28,160000,MORTGAGE,4.0,DEBTCONSOLIDATION,B,34000,0,0.21,N,7,0.0072593345357471134,7.108890018036207,2251.3862059246912
35,68000,MORTGAGE,19.0,PERSONAL,E,32000,0,0.47,Y,7,5.8978019866202145e-05,7.000884670297993,2239.018589053074
28,85000,MORTGAGE,4.0,PERSONAL,B,35000,0,0.41,N,5,0.011660415911900054,7.174906238678501,2237.066612582417
33,390000,MORTGAGE,8.0,MEDICAL,B,35000,0,0.09,N,8,0.011821324051069034,7.177319860766035,2234.1182478333612
25,96050,MORTGAGE,3.0,MEDICAL,E,35000,1,0.31,N,2,0.011938651919752,7.17907977879628,2231.9682451597932
34,156000,RENT,4.0,EDUCATION,A,35000,0,0.22,N,5,0.012152271775595306,7.1822840766339295,2228.053345710299
28,93600,MORTGAGE,,PERSONAL,A,35000,0,0.37,N,6,0.014189411538038878,7.212841173070583,2190.695678158764
31,300000,MORTGAGE,1.0,VENTURE,C,35000,0,0.12,N,6,0.01450705725102842,7.217605858765427,2184.866670803339
39,98000,MORTGAGE,0.0,HOMEIMPROVEMENT,D,35000,0,0.36,N,15,0.014734367590908537,7.2210155138636285,2180.694726506869
29,118400,MORTGAGE,11.0,EDUCATION,A,35000,0,0.3,N,7,0.014997956802475414,7.224969352037132,2175.856257976641
23,120000,RENT,0.0,EDUCATION,A,35000,0,0.29,N,4,0.015492290877045211,7.232384363155679,2166.780247885528
32,100000,MORTGAGE,2.0,MEDICAL,C,35000,0,0.35,N,10,0.015751937305820918,7.236279059587313,2162.0120925074048
23,108000,OWN,2.0,VENTURE,A,35000,0,0.32,N,4,0.01635451476141531,7.245317721421229,2150.943613038564
29,74000,RENT,2.0,DEBTCONSOLIDATION,D,30750,1,0.42,N,6,0.0009463532678811048,7.014195299018216,2137.3636803630397
29,104000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,35000,0,0.34,N,8,0.01755493598447339,7.263324039767101,2128.882242251135
29,118400,MORTGAGE,11.0,EDUCATION,A,35000,0,0.3,N,8,0.01764640495036609,7.264696074255491,2127.200602963058
37,250000,MORTGAGE,2.0,EDUCATION,C,34000,0,0.14,N,16,0.014494138732710084,7.217412080990651,2122.67221891191
32,103000,MORTGAGE,0.0,PERSONAL,E,33000,1,0.32,N,6,0.011614725070191475,7.174220876052872,2110.023553695157
29,120000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,35000,0,0.29,N,6,0.018765792199266808,7.281486882989002,2106.613768449797
27,80000,MORTGAGE,5.0,VENTURE,C,35000,0,0.44,N,8,0.019247106760952596,7.2887066014142885,2097.757788577658
38,151000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,35000,0,0.23,N,12,0.01930424787991187,7.289563718198678,2096.7062551580057
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,1,0.34,N,3,0.00028028420455033766,7.004204263068255,2095.6272128924556
26,80690,RENT,8.0,PERSONAL,A,30000,1,0.37,N,3,0.0003397798491963977,7.005096697737946,2094.6989148259795
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,1,0.42,N,4,0.0003851751801181877,7.0057776277017725,2093.990599570519
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,0,0.06,N,3,0.0004945733512969083,7.007418600269454,2092.2835550071695
23,102000,OWN,0.0,MEDICAL,D,30000,0,0.29,Y,2,0.0005257911436768261,7.007886867155152,2091.796414105171
23,80196,OWN,2.0,PERSONAL,B,30000,0,0.37,N,3,0.000722380321870308,7.010835704828055,2088.7285187288408
22,125004,MORTGAGE,6.0,EDUCATION,A,30000,0,0.24,N,2,0.001145100456797646,7.017176506851965,2082.130532226204
27,75000,RENT,11.0,PERSONAL,B,30000,1,0.4,N,5,0.0011891903887037089,7.017837855830556,2081.4422661542094
28,144000,MORTGAGE,12.0,PERSONAL,A,30000,0,0.21,N,5,0.001217146159021239,7.0182571923853185,2081.005853417793
28,190000,MORTGAGE,1.0,HOMEIMPROVEMENT,D,35000,0,0.18,N,6,0.020179596854188176,7.302693952812823,2080.5934525754883
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,1,0.47,Y,3,0.0013362804459366017,7.020044206689049,2079.145989638953
24,88000,MORTGAGE,8.0,DEBTCONSOLIDATION,F,30000,1,0.34,N,3,0.0014034592205846525,7.02105188830877,2078.0971725188524
26,60000,MORTGAGE,3.0,EDUCATION,C,30000,0,0.5,N,4,0.0014903394686061556,7.022355092029092,2076.7407092869516
30,96053,MORTGAGE,15.0,MEDICAL,D,30000,1,0.27,N,5,0.001518815433625764,7.022782231504387,2076.2960986339917
23,120000,MORTGAGE,3.0,MEDICAL,B,30000,0,0.25,N,4,0.0017552965839264096,7.026329448758896,2072.603508493309
27,157544,MORTGAGE,8.0,VENTURE,C,35000,0,0.22,N,8,0.02083038346370043,7.312455751955507,2068.609020365617
26,62050,RENT,6.0,MEDICAL,E,30000,1,0.41,N,2,0.0021008802944688936,7.031513204417033,2067.2064057652324
26,161000,RENT,10.0,VENTURE,A,30000,0,0.19,N,4,0.0022778435313493715,7.034167652970241,2064.44229234076
34,113900,MORTGAGE,5.0,MEDICAL,E,35000,1,0.26,N,10,0.021809917217636636,7.327148758264549,2050.5622260715527
22,106982,MORTGAGE,6.0,EDUCATION,D,30000,0,0.28,Y,3,0.0032849629540782975,7.049274444311174,2048.7060184991346
37,220000,RENT,0.0,EDUCATION,B,30000,0,0.14,N,17,0.003472680978916118,7.052090214683742,2045.7719089195923
51,120000,MORTGAGE,2.0,PERSONAL,A,30000,0,0.25,N,22,0.003748207444931731,7.056223111673976,2041.464743093339
27,78000,MORTGAGE,2.0,HOMEIMPROVEMENT,D,35000,1,0.45,Y,5,0.022363526108066096,7.335452891620991,2040.3581565082695
42,125000,MORTGAGE,5.0,VENTURE,A,35000,0,0.28,N,17,0.022976319936453035,7.344644799046796,2029.059442947988
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,0,0.16,Y,3,0.02308352048141046,7.346252807221157,2027.0824704197973
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,0,0.15,N,4,0.02313524419055566,7.347028662858335,2026.1285482321646
29,112260,RENT,5.0,EDUCATION,D,30000,0,0.27,N,10,0.005318299314002864,7.079774489710043,2016.9072513173855
44,140787,MORTGAGE,3.0,MEDICAL,D,35000,1,0.21,Y,15,0.02378371088335217,7.356755663250283,2014.1667211802305
33,54000,MORTGAGE,7.0,MEDICAL,C,32000,1,0.59,Y,7,0.01358416617769646,7.203762492665447,2013.0737328635632
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,1,0.38,Y,4,0.005606653736919896,7.084099806053798,2012.3947461564835
25,96000,MORTGAGE,9.0,PERSONAL,D,35000,0,0.36,Y,2,0.024603361816459113,7.369050427246886,1999.0408565239184
24,83000,RENT,8.0,PERSONAL,A,35000,1,0.42,N,2,0.02470137946293227,7.370520691943984,1997.2315635009313
29,72500,MORTGAGE,0.0,PERSONAL,A,30000,0,0.41,N,7,0.006667952588367365,7.100019288825511,1995.7798624587258
28,73000,RENT,0.0,PERSONAL,B,32000,1,0.44,N,9,0.014815922789682176,7.222238841845233,1992.4093892527617
30,170000,RENT,4.0,EDUCATION,C,35000,0,0.21,Y,9,0.025214111785828285,7.378211676787425,1987.7654704738968
27,119000,MORTGAGE,7.0,DEBTCONSOLIDATION,D,30000,1,0.25,N,7,0.007328751051415217,7.109931265771229,1985.4297859340418
24,100000,MORTGAGE,8.0,VENTURE,F,30000,0,0.3,Y,2,0.00735096330979299,7.110264449646895,1985.0818073901105
23,277000,OWN,3.0,PERSONAL,A,35000,0,0.13,N,4,0.02554897330199001,7.3832345995298505,1981.5817482106568
29,80000,RENT,2.0,DEBTCONSOLIDATION,C,35000,1,0.44,Y,10,0.025660272378561118,7.384904085678417,1979.5261824228428
27,81300,RENT,3.0,VENTURE,B,29000,1,0.36,N,6,0.003520510498063925,7.052807657470959,1976.8567878145698
30,100000,MORTGAGE,0.0,PERSONAL,D,30000,0,0.3,Y,6,0.008058340686165904,7.120875110292489,1973.9976694500476
24,72400,MORTGAGE,4.0,HOMEIMPROVEMENT,C,35000,0,0.48,N,4,0.02606011764190412,7.390901764628562,1972.1404278269183
27,104000,OWN,10.0,EDUCATION,B,35000,0,0.34,N,10,0.026159680875100698,7.392395213126511,1970.3010813298602
30,135000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,32000,0,0.24,N,9,0.016735763170454512,7.251036447556817,1960.1724891529288
66,300000,MORTGAGE,3.0,PERSONAL,A,28000,0,0.09,N,23,0.00023976362516508166,7.003596454377476,1956.5088001738932
25,146990,MORTGAGE,0.0,VENTURE,B,28000,0,0.19,N,3,0.0006527809698275948,7.009791714547414,1950.4937193627331
40,250000,MORTGAGE,8.0,EDUCATION,A,28000,0,0.11,N,13,0.001044721089123574,7.015670816336853,1944.7842768853138
25,120000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,28000,0,0.23,N,3,0.0011336119837395485,7.017004179756094,1943.4892121970074
27,65000,RENT,4.0,EDUCATION,A,28000,1,0.43,N,6,0.001426271434364053,7.021394071515461,1939.2249440648006
27,235000,MORTGAGE,5.0,PERSONAL,C,28000,0,0.12,N,9,0.001587367190734657,7.02381050786102,1936.8773508175907
29,129996,MORTGAGE,0.0,EDUCATION,E,30000,0,0.23,N,8,0.010690102093512607,7.160351531402689,1932.7201550687396
29,76000,OWN,13.0,MEDICAL,D,28000,0,0.37,N,10,0.0020262123216011237,7.030393184824017,1930.4811053447243
37,67600,MORTGAGE,6.0,EDUCATION,B,33000,0,0.49,N,15,0.02201700699682124,7.330255104952318,1929.7886543789123
45,80000,RENT,10.0,MEDICAL,A,35000,1,0.44,N,13,0.02874554414995178,7.431183162249277,1922.4929883513742
43,400000,MORTGAGE,5.0,VENTURE,B,28000,0,0.07,N,11,0.002805474110812025,7.042082111662181,1919.119240069634
22,128474,MORTGAGE,6.0,DEBTCONSOLIDATION,A,30000,0,0.23,N,2,0.01287711758894197,7.193156763834129,1898.370774904208
65,76000,RENT,3.0,EDUCATION,B,35000,1,0.46,N,27,0.030114741706053993,7.45172112559081,1897.1504881927003
66,60000,RENT,4.0,MEDICAL,C,27050,1,0.45,Y,28,0.00022641433324942483,7.003396214998741,1890.315047987064
23,124800,MORTGAGE,4.0,MEDICAL,B,28000,0,0.22,N,2,0.004805275096072047,7.07207912644108,1889.9382137924454
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,1,0.4,Y,4,0.013484095866261222,7.2022614379939185,1888.829910700338
31,108000,MORTGAGE,11.0,DEBTCONSOLIDATION,C,35000,1,0.32,N,10,0.0308030895289941,7.4620463429349115,1884.4024113685182
34,84000,MORTGAGE,10.0,VENTURE,A,30000,0,0.36,N,8,0.01379463318007653,7.206919497701148,1883.947408820228
22,65000,RENT,4.0,EDUCATION,D,34000,1,0.52,N,4,0.028328670493984243,7.424930057409764,1875.056286449379
27,78200,OWN,4.0,MEDICAL,E,35000,1,0.38,Y,7,0.03135249733711716,7.470287460056757,1874.2239082457793
30,144000,MORTGAGE,12.0,PERSONAL,C,35000,0,0.24,N,8,0.03136515499831172,7.470477324974675,1873.9893710533688
30,130000,MORTGAGE,3.0,EDUCATION,C,33250,0,0.26,Y,5,0.026233222651370833,7.393498339770563,1870.49527277905
30,98000,MORTGAGE,6.0,HOMEIMPROVEMENT,B,35000,1,0.36,N,8,0.031914616885489556,7.478719253282343,1863.8066231366154
39,108000,MORTGAGE,6.0,EDUCATION,D,30000,1,0.28,Y,11,0.015362304793279208,7.230434571899188,1859.2860433863175
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,0,0.28,N,3,0.007380990035117137,7.110714850526757,1852.303973230321
23,72250,RENT,7.0,MEDICAL,B,30000,1,0.35,N,2,0.015807980908932606,7.237119713633989,1852.270982648774
28,96000,RENT,3.0,HOMEIMPROVEMENT,A,28000,0,0.29,N,10,0.007908673187947093,7.1186300978192065,1844.5870205147967
23,80196,OWN,2.0,VENTURE,B,30000,0,0.37,N,3,0.016451070889636803,7.246766063344552,1842.1454243212945
24,66300,MORTGAGE,6.0,MEDICAL,E,30000,1,0.38,N,3,0.016516531917987413,7.247747978769811,1841.1145208597056
34,54000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,27000,0,0.5,N,5,0.003706581798987141,7.055598726984807,1837.9039496102585
23,180000,MORTGAGE,8.0,PERSONAL,A,28000,0,0.16,N,3,0.008422682791347799,7.126340241870217,1837.0677838992806
39,170000,MORTGAGE,16.0,MEDICAL,A,32000,0,0.19,N,13,0.024665740016076076,7.3699861002411415,1826.6417722258986
26,85000,RENT,2.0,VENTURE,A,28000,1,0.33,N,3,0.01007592740608643,7.151138911091296,1812.8680948523922
40,56448,RENT,,HOMEIMPROVEMENT,F,28000,1,0.5,N,14,0.010137634398385912,7.1520645159757885,1811.9644023084807
24,66300,RENT,4.0,MEDICAL,D,30000,1,0.38,N,3,0.0186479601173419,7.279719401760128,1807.5269632950449
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,1,0.31,N,4,0.035064781862294364,7.525971727934415,1805.3658907392282
27,128000,MORTGAGE,11.0,VENTURE,B,32000,0,0.25,N,7,0.025954322369602333,7.389314835544035,1804.8866668914238
29,95000,MORTGAGE,6.0,VENTURE,A,35000,0,0.37,N,8,0.03537894562428316,7.530684184364247,1799.5319232222455
22,75000,MORTGAGE,3.0,VENTURE,D,28000,0,0.37,Y,4,0.0112702023234116,7.169053034851174,1795.372380837403
28,115000,MORTGAGE,8.0,MEDICAL,A,28000,0,0.24,N,5,0.011860311238468571,7.177904668577028,1786.7230670406695
31,54400,MORTGAGE,1.0,MEDICAL,D,27050,1,0.42,N,7,0.008089017942888571,7.121335269143328,1779.4543824180591
26,70000,MORTGAGE,9.0,VENTURE,A,35000,0,0.5,N,2,0.036496700276632925,7.547450504149494,1778.7670070270988
25,200000,MORTGAGE,3.0,VENTURE,E,35000,0,0.17,Y,3,0.03658570402222329,7.548785560333349,1777.112989666827
50,900000,MORTGAGE,11.0,DEBTCONSOLIDATION,B,30000,0,0.03,N,15,0.020673472871702465,7.310102093075537,1775.5705570388454
25,159600,RENT,0.0,PERSONAL,D,30000,1,0.19,Y,4,0.02086624350823706,7.312993652623556,1772.527300739849
32,103000,MORTGAGE,0.0,EDUCATION,E,33000,1,0.32,Y,10,0.03131306212861183,7.469695931929177,1767.8143399666624
22,88000,RENT,6.0,DEBTCONSOLIDATION,D,25000,1,0.28,Y,2,1.9845069683401885e-05,7.000297676045251,1749.742012617265
38,200000,MORTGAGE,2.0,PERSONAL,A,25000,0,0.13,N,13,9.837358529479631e-05,7.001475603779422,1748.7211071010593
24,73000,MORTGAGE,9.0,EDUCATION,E,25000,1,0.34,N,2,0.00011067450788204,7.001660117618231,1748.5611854643585
23,75689,MORTGAGE,7.0,DEBTCONSOLIDATION,B,25000,0,0.33,N,4,0.00021159300148348962,7.003173895022252,1747.2491230872213
23,102000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,25000,0,0.25,N,4,0.0002135730720616956,7.003203596080925,1747.2233790127339
26,129996,RENT,6.0,PERSONAL,B,25000,0,0.19,N,3,0.00023286330581923445,7.003492949587288,1746.972573679403
30,119000,MORTGAGE,14.0,PERSONAL,C,25000,0,0.21,Y,8,0.0002986450921951484,7.004479676382927,1746.1172793431215
24,72400,MORTGAGE,4.0,PERSONAL,E,25000,0,0.35,Y,2,0.00033286226172740083,7.004992933925911,1745.672375107724
26,77100,RENT,8.0,EDUCATION,B,35000,1,0.45,N,3,0.03829321216397954,7.574398182459693,1745.365095601936
44,80000,MORTGAGE,28.0,VENTURE,D,25000,0,0.31,Y,17,0.00037275123531568946,7.005591268529735,1745.1537129028334
46,192000,MORTGAGE,1.0,VENTURE,C,25000,0,0.13,Y,14,0.00038453429283929374,7.005768014392589,1745.0004996932557
34,40000,RENT,3.0,MEDICAL,B,25000,1,0.63,N,8,0.00038775605101953463,7.005816340765293,1744.9586075064144
23,110000,MORTGAGE,,EDUCATION,B,25000,0,0.23,N,3,0.0004226531223191397,7.006339796834787,1744.5048395261192
23,78000,MORTGAGE,7.0,MEDICAL,B,25000,0,0.32,N,4,0.0005468389044634346,7.008202583566952,1742.8899728690228
25,83800,RENT,2.0,DEBTCONSOLIDATION,D,25000,1,0.3,Y,3,0.0005560308045281557,7.008340462067922,1742.7704401526755
22,75000,MORTGAGE,6.0,MEDICAL,B,25000,0,0.33,N,2,0.0006003162682876586,7.009004744024315,1742.194537088678
44,171996,MORTGAGE,19.0,VENTURE,B,25000,0,0.15,N,11,0.0006196180280842698,7.009294270421264,1741.9435259105267
24,88000,MORTGAGE,2.0,DEBTCONSOLIDATION,G,25000,1,0.28,Y,2,0.0006291648927284921,7.0094374733909275,1741.8193719627964
42,101000,MORTGAGE,6.0,DEBTCONSOLIDATION,F,25000,1,0.25,Y,17,0.0006889459613297902,7.010334189419947,1741.0419225781964
31,78000,RENT,10.0,MEDICAL,B,25000,1,0.32,N,8,0.0006914631737695427,7.010371947606544,1741.0091857860434
28,84000,RENT,7.0,PERSONAL,E,25000,0,0.3,Y,7,0.0007133148880512697,7.010699723320769,1740.724998387348
26,68000,MORTGAGE,11.0,MEDICAL,D,25000,1,0.31,N,2,0.0007423847816955166,7.011135771725432,1740.3469310810929
29,175000,RENT,1.0,PERSONAL,B,25000,0,0.14,N,5,0.0008066383176655388,7.012099574764983,1739.5112618751898
23,56403,MORTGAGE,7.0,MEDICAL,D,30000,1,0.45,N,2,0.023014492458458092,7.345217386876872,1738.5904167640122
26,150000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,25000,0,0.17,N,4,0.0009184851451369672,7.013777277177055,1738.0565295571128
26,135660,RENT,10.0,DEBTCONSOLIDATION,B,25000,0,0.18,N,4,0.0009199115141608454,7.013798672712412,1738.0379769264318
39,88400,MORTGAGE,20.0,MEDICAL,F,25000,1,0.24,N,13,0.0009301923692197616,7.013952885538297,1737.9042544832291
30,77000,RENT,7.0,PERSONAL,B,25000,1,0.32,N,8,0.0009438312657718741,7.014157468986578,1737.7268529794972
29,97000,RENT,4.0,PERSONAL,B,25000,0,0.26,N,10,0.0009598585517829371,7.014397878276744,1737.5183838451742
41,171194,MORTGAGE,9.0,HOMEIMPROVEMENT,B,25000,0,0.15,N,14,0.0009715318412650873,7.014572977618976,1737.3665465356096
32,64600,MORTGAGE,12.0,MEDICAL,B,25000,1,0.33,N,5,0.0009721177567016278,7.014581766350524,1737.3589253643804
26,80000,MORTGAGE,10.0,PERSONAL,B,25000,0,0.31,N,4,0.0009835021083571037,7.014752531625357,1737.2108453048684
28,65007,MORTGAGE,4.0,DEBTCONSOLIDATION,F,25000,1,0.38,Y,9,0.001021399731558086,7.015320995973371,1736.7178912744512
25,116000,MORTGAGE,0.0,EDUCATION,D,35000,0,0.3,Y,4,0.038766022475175736,7.5814903371276365,1736.5686673344358
24,80000,RENT,6.0,EDUCATION,A,25000,1,0.31,N,2,0.0010428531484515094,7.015642797226772,1736.4388307850454
28,118000,MORTGAGE,6.0,PERSONAL,G,25000,1,0.21,Y,6,0.0010808772592640443,7.01621315888896,1735.9442145208814
30,72000,RENT,5.0,VENTURE,D,25000,1,0.35,Y,5,0.00109185467623836,7.016377820143576,1735.8014186590235
28,131004,MORTGAGE,5.0,EDUCATION,A,25000,0,0.19,N,5,0.001143273572390815,7.017149103585862,1735.1325420296896
25,250000,RENT,2.0,MEDICAL,C,25000,0,0.1,N,4,0.0012163662769730068,7.018245494154595,1734.181690098402
23,67476,MORTGAGE,5.0,HOMEIMPROVEMENT,C,25000,1,0.37,Y,3,0.0012749192682973063,7.0191237890244595,1733.4199541903577
24,104000,MORTGAGE,8.0,EDUCATION,C,25000,0,0.24,N,2,0.0012808238882955282,7.019212358324433,1733.3431375402847
21,88000,MORTGAGE,1.0,PERSONAL,D,25000,1,0.28,N,4,0.001328388988420553,7.019925834826308,1732.7243258356407
25,100000,RENT,1.0,VENTURE,B,25000,0,0.25,N,4,0.0013335008197928196,7.020002512296892,1732.6578210010566
25,69000,RENT,9.0,PERSONAL,D,25000,1,0.36,N,2,0.001435246818969433,7.021528702284542,1731.3340666030301
22,52000,RENT,2.0,EDUCATION,B,25000,1,0.48,N,4,0.0014497357664425413,7.021746036496638,1731.1455535345249
24,55164,RENT,8.0,PERSONAL,C,25000,1,0.45,Y,4,0.001496382703185233,7.022445740547779,1730.5386280041132
34,275004,MORTGAGE,2.0,VENTURE,D,25000,0,0.09,Y,9,0.0015541832416762378,7.023312748625144,1729.7865597874013
23,81600,RENT,1.0,MEDICAL,B,25000,1,0.31,N,3,0.0015612593563871238,7.023418890345807,1729.6944876265502
22,70000,MORTGAGE,6.0,PERSONAL,D,25000,0,0.36,Y,4,0.0016039583915014091,7.024059375872521,1729.1388933510254
24,100000,MORTGAGE,6.0,VENTURE,D,25000,0,0.25,Y,2,0.0016062098764311405,7.024093148146467,1729.1095969432683
42,101000,MORTGAGE,6.0,DEBTCONSOLIDATION,F,25000,1,0.25,Y,14,0.0016424908287617644,7.0246373624314264,1728.6375025656373
30,232050,MORTGAGE,14.0,MEDICAL,E,25000,1,0.09,Y,9,0.0017522541355220107,7.026283812032831,1727.2091822586312
23,52000,RENT,1.0,PERSONAL,C,25000,1,0.48,N,2,0.0017812777542676986,7.026719166314016,1726.831490630378
29,52800,MORTGAGE,7.0,EDUCATION,D,25475,0,0.48,Y,7,0.004277456545349331,7.06416184818024,1726.5166171291846
28,70000,OWN,4.0,PERSONAL,D,25000,0,0.36,N,9,0.0018079619363239156,7.027119429044859,1726.4842371039274
25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,1,0.31,N,3,0.0018710720793878618,7.0280660811908175,1725.6629345527342
25,92000,RENT,6.0,HOMEIMPROVEMENT,B,25000,0,0.27,N,3,0.001884993506043963,7.02827490259066,1725.4817599194869
24,120000,MORTGAGE,1.0,EDUCATION,F,25000,0,0.21,N,2,0.001921613112148753,7.028824196682232,1725.0051823034933
32,87000,MORTGAGE,8.0,MEDICAL,B,24800,0,0.29,N,5,0.0009292244335934772,7.013938366503902,1724.0135096404401
44,150000,MORTGAGE,17.0,PERSONAL,C,25000,0,0.17,N,17,0.0020205162110734625,7.030307743166102,1723.717979934448
22,42000,RENT,6.0,MEDICAL,D,25000,1,0.6,Y,2,0.0020528935158608203,7.030793402737912,1723.2965803996065
23,148000,RENT,1.0,DEBTCONSOLIDATION,E,25000,1,0.17,N,3,0.0020715833525988014,7.031073750288982,1723.0533234502652
30,144997,MORTGAGE,14.0,PERSONAL,B,25000,0,0.17,N,5,0.0021619830899799112,7.032429746349699,1721.876691689456
26,87000,MORTGAGE,9.0,DEBTCONSOLIDATION,C,25000,0,0.29,N,2,0.0021858446181809077,7.032787669272714,1721.5661027760427
41,144000,MORTGAGE,3.0,HOMEIMPROVEMENT,B,25000,0,0.17,N,11,0.0022363350779743317,7.033545026169615,1720.9088895066545
25,134748,MORTGAGE,4.0,HOMEIMPROVEMENT,B,25000,0,0.19,N,3,0.002393718013775873,7.035905770206638,1718.8601787486782
29,228000,MORTGAGE,11.0,DEBTCONSOLIDATION,D,35000,1,0.15,N,8,0.03975363093949726,7.596304464092459,1718.1870732435623
